time_s,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,cmd_v_x,cmd_v_y,cmd_v_z,cmd_yaw_rate,total_error
0.01,0.01,-1.0279207077628216,-8.741148302725943e-05,0.8235866981075896,-0.018347331061133336,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.014687038514437235,1.5622321357460904
0.11371780395507812,0.10371780395507812,-1.027113924112422,-0.0002488157760776717,0.8251821050782657,-0.015930486319823172,0.0,0.0,2.0,0.0,0.5154116962631359,0.008842557371023225,0.4785068942207094,0.012836176474240528,1.5604999715614363
0.215322265625,0.10160446166992188,-1.026388508784815,-0.0003633822241080058,0.8264315438643153,-0.014766083290766119,0.0,0.0,2.0,0.0,0.6716007394525314,0.010497366945031502,0.9133949062063829,0.011979669048181462,1.5590819171066195
0.3135104274749756,0.09818816184997559,-1.025430018028225,-0.0008987491234640339,0.8286901166801668,-0.012975833102920357,0.0,0.0,2.0,0.0,0.6733051281216831,0.010972243587668535,1.216493267419279,0.010611172557947243,1.5567512236661558
0.4133303260803223,0.09981989860534668,-1.0247386308798143,-0.001332544631549422,0.8307923342606467,-0.01460889990783256,0.0,0.0,2.0,0.0,0.6768603356748795,0.012080098652137567,1.226653513683994,0.01199053894725378,1.554714637133226
0.5138547515869141,0.1005244255065918,-1.0240040210145744,-0.0019118087554980806,0.8331040188124595,-0.01649290643382097,0.0,0.0,2.0,0.0,0.6794250755129078,0.014207719918917918,1.2360875593828087,0.0135806411652542,1.552492873084565
0.613585958480835,0.0997312068939209,-1.023055577946906,-0.002503527804435929,0.8352425264999835,-0.014532442893806828,0.0,0.0,2.0,0.0,0.6813336410485679,0.013357421741129225,1.246157536087632,0.012084737236688703,1.5502609313576494
0.7144382095336914,0.10085225105285645,-1.0220844754407774,-0.002894145591724595,0.8369009853936349,-0.014826298384226576,0.0,0.0,2.0,0.0,0.6838682486304545,0.013243249979552065,1.2570765697827158,0.012394584907366031,1.548374750760956
0.8141074275970459,0.09966921806335449,-1.0205996861440025,-0.003287399562044115,0.83888658529337,-0.011965851718334653,0.0,0.0,2.0,0.0,0.6845091642593725,0.011595736977586736,1.2661494403952078,0.010165858928863916,1.5459039065106237
0.9137618637084961,0.0996544361114502,-1.0192080287869367,-0.0032929659598398358,0.8404465778333767,-0.012990959379394122,0.0,0.0,2.0,0.0,0.6870402623245002,0.011173232094336244,1.276812460151101,0.011050675394286504,1.5438134564858843
1.0151777362823486,0.10141587257385254,-1.016336851231212,-0.0033424609392783866,0.8442291864807391,-0.014322694050504882,0.0,0.0,2.0,0.0,0.6840225458394097,0.012212308255362627,1.2822469916717742,0.012188690556912126,1.539076976826916
1.1138637161254883,0.09868597984313965,-1.0118292447541684,-0.003574056563191153,0.8522674377842596,-0.011663971983724606,0.0,0.0,2.0,0.0,0.6785009644096887,0.011069249780499228,1.2824807995054406,0.010119266428691745,1.5300657596294402
1.214331398010254,0.10046768188476562,-1.0039948372442338,-0.0035769503835243084,0.8637381651296722,-0.014048991756246385,0.0,0.0,2.0,0.0,0.6663230507666104,0.011828800103408216,1.2771653388826683,0.012097855728437582,1.516281433365853
1.3142240142822266,0.09989261627197266,-0.992322608189035,-0.0038102725676785417,0.8769244882608571,-0.016525933512736974,0.0,0.0,2.0,0.0,0.6496100243874353,0.01405586121780794,1.2735990033632052,0.014161950070376251,1.4986718393191576
1.414944658279419,0.10072064399719238,-0.9766899549806487,-0.004139753913957248,0.8923907401240471,-0.018159775223889785,0.0,0.0,2.0,0.0,0.6304687912292029,0.015279630857727888,1.2692888145877599,0.015560476652068219,1.4767324328684346
1.5137882328033447,0.09884357452392578,-0.9571231963793364,-0.004346647805430374,0.9088679794097388,-0.016749241427258938,0.0,0.0,2.0,0.0,0.6065990732117784,0.01379881791801686,1.2666599688142535,0.01451482735942527,1.4514381808233956
1.6177964305877686,0.10400819778442383,-0.9329899796016121,-0.004945545544687434,0.9273473065662534,-0.016606188865730218,0.0,0.0,2.0,0.0,0.5806705359700193,0.014797706149458068,1.2644656333824447,0.01448674429900191,1.421646426221521
1.7178709602355957,0.10007452964782715,-0.9065228088960842,-0.005378892787053282,0.9455383612474263,-0.015255845379491392,0.0,0.0,2.0,0.0,0.5537584334327946,0.013487188467040837,1.2636449859016292,0.013482805587547478,1.3905760975715153
1.817516098022461,0.09964513778686523,-0.8769180834601407,-0.005897810469933253,0.96401153982998,-0.015518299400785526,0.0,0.0,2.0,0.0,0.5247177043779162,0.013807329200016425,1.2629220672621946,0.01377008495868324,1.3573106493626264
1.9175932502746582,0.10007715225219727,-0.8447648447606181,-0.00649358768335302,0.9818972284182473,-0.014383479118989427,0.0,0.0,2.0,0.0,0.49657220349597625,0.013451550182555816,1.2642561999702093,0.012934201614731735,1.322952403953702
2.0175063705444334,0.09991312026977539,-0.8101308663203511,-0.007344308590226148,0.9994280862249089,-0.017873225818681126,0.0,0.0,2.0,0.0,0.46638483990625107,0.01598278713619621,1.2649077963748376,0.015815287462526625,1.2874432469313664
2.1174945926666258,0.09998822212219238,-0.7734666397877393,-0.008390556594634342,1.0170957015526965,-0.016187675396865116,0.0,0.0,2.0,0.0,0.4365487298798141,0.016024034954163425,1.2646606071139126,0.014547775969235007,1.2507685254317404
2.2177648639678953,0.10027027130126953,-0.735093156840756,-0.00932083780954856,1.0344870519556366,-0.01566719549615127,0.0,0.0,2.0,0.0,0.406808979470342,0.015620922147538768,1.2653110534613266,0.014209939745810385,1.2135337160923456
2.3181731796264646,0.10040831565856934,-0.6954293174769509,-0.010450886007613288,1.051193466572429,-0.01674788607606505,0.0,0.0,2.0,0.0,0.37727694512776433,0.016932569232658127,1.2667230457811858,0.015158573561328373,1.1764204157101519
2.417524824142456,0.09935164451599121,-0.6544374179911724,-0.011238358475899216,1.067923268495448,-0.015952826311708003,0.0,0.0,2.0,0.0,0.34533088498581216,0.015682665985605925,1.2663220432746307,0.014601772726280045,1.1389388342577462
2.5173566436767576,0.09983181953430176,-0.612451470034378,-0.012078923947304135,1.0841908279928165,-0.018421670857017364,0.0,0.0,2.0,0.0,0.3155163593646303,0.01671507914804412,1.267410071111087,0.016668801808553436,1.1017936027602804
2.6179540252685545,0.10059738159179688,-0.5695561293458339,-0.012543350287101337,1.100458308254633,-0.01748769551472832,0.0,0.0,2.0,0.0,0.28580393911670965,0.015109836349955587,1.2676582431780847,0.016009582353665015,1.064766065997574
2.726360807418823,0.10840678215026855,-0.5383118985711842,-0.012925654615601778,1.1121695582794433,-0.015055496229205463,0.0,0.0,2.0,0.0,0.30699827049047546,0.014713793901343634,1.2783938794372172,0.014145428820240913,1.038359121853453
2.81694580078125,0.09058499336242676,-0.48163296421125484,-0.013699650268210201,1.1330058410628092,-0.018274501471088552,0.0,0.0,2.0,0.0,0.1685273268480667,0.01521208252679424,1.2539961708668437,0.016803402793470396,0.9918855096550195
2.919889459609985,0.10294365882873535,-0.4476904218068805,-0.014058016921104081,1.145256445148071,-0.017079497705942207,0.0,0.0,2.0,0.0,0.2352094477887267,0.014917266847345564,1.2761994002842998,0.01593531108059365,0.964992687111301
3.018075475692749,0.09818601608276367,-0.40329965146337227,-0.01445680432133241,1.1614740315872392,-0.016412603824695404,0.0,0.0,2.0,0.0,0.16943283056756275,0.014165224223103477,1.26696558820454,0.015482370384750789,0.9305833695936229
3.122575531005859,0.10450005531311035,-0.35797163497994733,-0.014957298069882571,1.1783348170287395,-0.01482609895842038,0.0,0.0,2.0,0.0,0.1452547071667556,0.014141761881261386,1.2677305712595444,0.014290632899792398,0.8963822204411257
3.2273359394073484,0.10476040840148926,-0.31572265497381435,-0.015295310161110217,1.1945123994201154,-0.017834681975396456,0.0,0.0,2.0,0.0,0.12667226499922235,0.014040635625610125,1.2691150833826916,0.01679091774174592,0.8652889783561203
3.3323612308502195,0.1050252914428711,-0.27403060411649427,-0.01551999576838473,1.2107433194111616,-0.0184276970915665,0.0,0.0,2.0,0.0,0.10122542739913236,0.013517893985887396,1.2690914069019745,0.017362098547565093,0.8356193811270853
3.433741579055786,0.1013803482055664,-0.23463180679505855,-0.0150866619702389,1.227023325338885,-0.01564746809885875,0.0,0.0,2.0,0.0,0.07794881788820182,0.010718668643263048,1.2678833102945894,0.015217232641618776,0.8079434582317462
3.531294832229614,0.09755325317382812,-0.19935675153025492,-0.01441941994801748,1.2427906123622028,-0.020728152845915167,0.0,0.0,2.0,0.0,0.06287533250998732,0.00962090542579477,1.2676745028784997,0.019382885376384086,0.7831456382941432
3.6362929439544676,0.10499811172485352,-0.16577771357018517,-0.013505782910379693,1.2591676247845105,-0.01832705182532049,0.0,0.0,2.0,0.0,0.05341336627350914,0.008186017388739648,1.2688051296289529,0.01755821985166545,0.7592741696225445
