time_ms,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,v_des_body_x,v_des_body_y,cmd_x,cmd_y,cmd_z,cmd_yaw,out_I_x,out_I_y,inn_I_x,inn_I_y,total_error
1776700025597,0.01,-1.0426337497978555,0.7473643901463058,0.9025227581249564,-0.08165911493308353,-2.0,0.0,2.0,0.0,-0.032028477423415296,-0.03773826485064962,0.0,0.0,0.0,40.0,-0.009573662502021445,-0.007473643901463059,0.0,0.0,1.636936151814886
1776700025699,0.102,-1.042094212314961,0.7479909931964221,0.9030097989609878,-0.07365285050464744,-2.0,0.0,2.0,0.0,-0.363293010174881,-0.40349819349394933,-19.02421050826068,-21.143737941220202,22.033589274141153,3.7912287221662124,-0.10728005284589542,-0.08376872520749812,-0.03754785237045844,-0.04182142252942868,1.6372115089868742
1776700025801,0.102,-1.0423342001576665,0.7492343057567953,0.9048025585177585,-0.08308528861919205,-2.0,0.0,2.0,0.0,-0.44991095793057884,-0.4165960428112864,-23.521287120644256,-21.977485243639258,40.0,5.724916384958943,-0.20496196442981343,-0.16019062439469123,-0.08309642792481595,-0.08553332600248278,1.6364392029463763
1776700025902,0.101,-1.0417263826913803,0.7487821335643302,0.9047181969915441,-0.08725154763553192,-2.0,0.0,2.0,0.0,-0.45029041041716017,-0.41994359013521443,-23.750165410591308,-22.044940867309148,40.0,5.5650935722974495,-0.30174759977798404,-0.23581761988468858,-0.12922066738913182,-0.1275501422292863,1.6366445054367644
1776700026007,0.105,-1.0416093204701842,0.7488866315505517,0.9053783465916457,-0.08718837435059351,-2.0,0.0,2.0,0.0,-0.45223872909100543,-0.4217142333024516,-23.882328198501128,-22.286091233114405,40.0,5.226489258373636,-0.4023786211286147,-0.3144507161974965,-0.1768132520335772,-0.17194443131516393,1.6363191759663496
1776700026107,0.1,-1.0414096508471953,0.7489842041875742,0.9058749547600742,-0.07844479367265243,-2.0,0.0,2.0,0.0,-0.45779829006925427,-0.4194440381689847,-24.27404918980936,-22.25264384179711,40.0,4.007201166123862,-0.4982376560438952,-0.3893491366162539,-0.22278449041859388,-0.2140017546955524,1.636148651630609
1776700026195,0.088,-1.0407987797148057,0.74894651570061,0.907801884688932,-0.08941734349248119,-2.0,0.0,2.0,0.0,-0.4550380930412258,-0.4259140407433509,-24.27228686701315,-22.65284831309095,40.0,6.362545138624212,-0.5826473634289923,-0.4552564299979076,-0.26343963878245474,-0.2514992020763828,1.635201696264329
1776700026298,0.103,-1.0406899185731158,0.7479451706947492,0.9078422515368932,-0.06924844136603302,-2.0,0.0,2.0,0.0,-0.46386373483534266,-0.41771580110105216,-24.764429821164015,-22.192782307567278,40.0,2.5883898119465885,-0.6,-0.5322947825794668,-0.3113954898777436,-0.29353251696376276,1.634780217099796
1776700026399,0.101,-1.039875869212886,0.7476545417055823,0.9080069991857492,-0.06144601460568151,-2.0,0.0,2.0,0.0,-0.4674408072158206,-0.4153153631669653,-25.124453331631024,-22.2383516688658,40.0,3.0687468755209686,-0.6,-0.6,-0.35943737124043124,-0.3352392767518488,1.6350150990373171
1776700026501,0.102,-1.0402221052987404,0.7470693647643489,0.9098689425297121,-0.0780626576481828,-2.0,0.0,2.0,0.0,-0.46032567214212067,-0.4227197693651666,-24.7138761426838,-22.665109361887,40.0,5.987025579871462,-0.6,-0.6,-0.4060910422073968,-0.3777462976831186,1.6333009414642112
