time_ms,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,v_des_body_x,v_des_body_y,cmd_x,cmd_y,cmd_z,cmd_yaw,out_I_x,out_I_y,inn_I_x,inn_I_y,total_error
1776700716949,0.01,-1.3359256858320991,0.8605576084849844,0.8430185891722553,-0.21282561420950344,-2.0,0.0,2.0,0.0,-0.026817538365516362,-0.04160312050813086,0.0,0.0,0.0,60.0,-0.006640743141679009,-0.008605576084849844,0.0,0.0,1.5875012054357385
1776700717053,0.104,-1.337634331922742,0.859820669831409,0.8391369493466733,-0.19641709888970177,-2.0,0.0,2.0,0.0,-0.24842889804855384,-0.4562553678782294,-19.185218598805584,-35.54429397907474,34.68402887562626,16.054916283984763,-0.07552677262171384,-0.09802692574731638,-0.024304631413980152,-0.046394335859743424,1.5892208420760512
1776700717154,0.101,-1.3388842586664789,0.8598970485131725,0.8379201818445822,-0.2026110675582718,-2.0,0.0,2.0,0.0,-0.23932233124165733,-0.491865689419657,-18.58790952272069,-38.62172025745916,60.0,19.487145376777647,-0.14229946249639946,-0.1848765276471468,-0.047236458499808176,-0.09589606696146177,1.5896309198190521
1776700717255,0.101,-1.341500438620197,0.8615334796324381,0.8386352511505384,-0.22946126986838236,-2.0,0.0,2.0,0.0,-0.22547052128540016,-0.5006099539637103,-17.267604449664983,-39.66789196000961,60.0,24.635976620980816,-0.20880791819575956,-0.2718914090900231,-0.06708916261941679,-0.14745615321243502,1.588908332388984
1776700717353,0.098,-1.3440429497191813,0.8615824557993899,0.8366924774594275,-0.20732194627440073,-2.0,0.0,2.0,0.0,-0.2361589953906254,-0.4971753861827378,-18.224762257080375,-39.27946929451554,60.0,16.986187476658834,-0.2730917091232798,-0.3563264897583633,-0.08773459798002085,-0.1957039181115041,1.5893043673110272
1776700717450,0.097,-1.3461028369516725,0.8622635332408389,0.8381962272436937,-0.22507762123433184,-2.0,0.0,2.0,0.0,-0.22707780856633097,-0.5033057618536979,-17.634060113262343,-40.02992263195907,60.0,23.7537045026644,-0.33651973393896756,-0.4399660524827247,-0.10760121091087291,-0.24472874568468544,1.5877241281124417
1776700717554,0.104,-1.3493114208253472,0.8641872761594185,0.8389852298422569,-0.21912641834540264,-2.0,0.0,2.0,0.0,-0.22922435735030092,-0.5045843377702353,-17.64874194841582,-40.457013110558776,60.0,20.608310410782444,-0.40419134617313146,-0.5298415292033042,-0.1278905072720118,-0.2983857862678125,1.5868744663232188
1776700717657,0.103,-1.3512783291291575,0.8653044184271406,0.8409154131194582,-0.224492817824054,-2.0,0.0,2.0,0.0,-0.22642061864344096,-0.5077982531798579,-17.72937843212381,-40.776095677713286,60.0,22.680648332852293,-0.47100967827282825,-0.6,-0.149045588846387,-0.3513402590514813,1.5852661045865537
1776700717765,0.108,-1.3549809277391354,0.8669171071054149,0.8423640424242438,-0.21134600510025997,-2.0,0.0,2.0,0.0,-0.23245977016520936,-0.5054700595606618,-17.98268736385396,-40.780206086224396,60.0,19.68537105126453,-0.5406717380770016,-0.6,-0.1701927266896222,-0.40673111407366347,1.5835769272266587
1776700717852,0.087,-1.3563132763453076,0.8676347130398705,0.844057076449297,-0.21054425376927435,-2.0,0.0,2.0,0.0,-0.23323378826943011,-0.5057292509545398,-18.45872881803394,-40.88792131857601,60.0,21.183192211240623,-0.5966724830349599,-0.6,-0.18903116547920307,-0.4511528677541951,1.5821904550299997
1776700717953,0.101,-1.3605545920923587,0.8696190880672687,0.8472913308966831,-0.2277031111257155,-2.0,0.0,2.0,0.0,-0.2222970810246505,-0.510159513021073,-17.143682175362716,-41.46633207658936,60.0,25.15272805604283,-0.6,-0.6,-0.20690338017417403,-0.5,1.5791976012681432
1776700718054,0.101,-1.3618628317082409,0.8690762661994795,0.8485840650883684,-0.19951232996785714,-2.0,0.0,2.0,0.0,-0.23600129227802136,-0.5032952431363347,-18.887441682330113,-40.61599880698304,60.0,17.46929083267153,-0.6,-0.6,-0.2295648047776684,-0.5,1.577425515577544
1776700718153,0.099,-1.3659520572379305,0.869910239234714,0.8513359344915638,-0.21867186930643087,-2.0,0.0,2.0,0.0,-0.22422928043952228,-0.5076877805197679,-17.47397191643975,-41.08637850244512,60.0,25.125199700082533,-0.6,-0.6,-0.24759074055390523,-0.5,1.5742267160217358
1776700718252,0.099,-1.3670967210247342,0.869690398490489,0.8511153488204135,-0.2000774057064722,-2.0,0.0,2.0,0.0,-0.2330910870185265,-0.5032093567523939,-18.79384577456902,-40.66979317038823,60.0,19.113147153637367,-0.6,-0.6,-0.26958862134571676,-0.5,1.5738055443669745
1776700718354,0.102,-1.3701224657524644,0.8712974781700685,0.8523400547487908,-0.22601188515420717,-2.0,0.0,2.0,0.0,-0.21830922926418306,-0.5095286365562869,-17.309833072785604,-41.39996796354461,60.0,27.028878456260127,-0.6,-0.6,-0.28854723448870495,-0.5,1.5725865170315068
1776700718454,0.1,-1.3718630049522975,0.8702758643490709,0.8535289747633591,-0.1644664323772562,-2.0,0.0,2.0,0.0,-0.24846038267240542,-0.4944900744292681,-20.036478576178656,-39.83752189304247,60.0,11.250577862807837,-0.6,-0.6,-0.31184348537596296,-0.5,1.5704559772000086
1776700718554,0.1,-1.3767403654223123,0.8695290766168823,0.859447325289864,-0.15581016040827636,-2.0,0.0,2.0,0.0,-0.25038026620296033,-0.4915735281974608,-19.67976795042722,-39.573704955831765,60.0,17.005187275046115,-0.6,-0.6,-0.33217912210886846,-0.5,1.563775492506698
