time_ms,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,v_des_body_x,v_des_body_y,cmd_x,cmd_y,cmd_z,cmd_yaw,out_I_x,out_I_y,inn_I_x,inn_I_y,total_error
1776700910549,0.01,-1.3232968755207972,1.1948033207467672,0.8881174679111454,-0.17226930723009487,-2.0,0.0,2.0,0.0,-0.028482292880682828,-0.04048158831195985,0.0,0.0,0.0,60.0,-0.0067670312447920275,-0.011948033207467672,0.0,0.0,1.7668516799979959
1776700910653,0.104,-1.3256137537945298,1.1939905033830476,0.8885312050785275,-0.17070480262518933,-2.0,0.0,2.0,0.0,-0.26602692188615984,-0.4507432683460977,-20.455393443828736,-35.08826753822248,33.66701576913832,7.832791001800123,-0.07690320085016092,-0.1361230455593046,-0.02552167570929179,-0.04568271240145742,1.7651552377409185
1776700910759,0.106,-1.3264431963743615,1.19441764863056,0.8900899457636022,-0.16688879345108698,-2.0,0.0,2.0,0.0,-0.2349457958554921,-0.6505297410182854,-18.32344239264788,-51.13421589955369,60.0,7.146660008496926,-0.1483002220344786,-0.2627313163141439,-0.04953705616044317,-0.11492229259212955,1.7641464269061076
1776700910863,0.104,-1.3302826793637932,1.1947197236206064,0.8917916179215414,-0.18181630394470905,-2.0,0.0,2.0,0.0,-0.22421450210347466,-0.656461651916808,-17.03277888161241,-51.683663691947274,60.0,12.17199270325882,-0.2179508233806441,-0.386982167570687,-0.0690245479166659,-0.18279715938510083,1.7618179036657542
1776700910959,0.096,-1.3317678714312944,1.195601045541412,0.8921918284799317,-0.18067689126992326,-2.0,0.0,2.0,0.0,-0.225002264659279,-0.6589945378105821,-17.51355788641886,-52.25407370412837,60.0,8.38763761225987,-0.2821011077232398,-0.5017598679426626,-0.08900537921909174,-0.24666072871495984,1.7616001199585045
1776700911060,0.101,-1.3350288332293931,1.1952811177144065,0.8914108987887497,-0.16069581135833222,-2.0,0.0,2.0,0.0,-0.23755157537843027,-0.6561031292436054,-18.29396292148609,-51.96304173914261,60.0,2.9654195602674234,-0.3492631955670711,-0.6,-0.10983033023113474,-0.31208956833887513,1.7606400535956324
1776700911165,0.105,-1.3360363250884864,1.196912694333219,0.8934163884943206,-0.16955826844195915,-2.0,0.0,2.0,0.0,-0.2324677812742913,-0.6591369980139944,-18.31396576164861,-52.80744023146837,60.0,10.164501361471624,-0.41897938143278,-0.6,-0.1329710798310398,-0.38273712077072164,1.7601065447043143
1776700911264,0.099,-1.3383119587201824,1.1976782964454538,0.8941007433155856,-0.1645404406665676,-2.0,0.0,2.0,0.0,-0.23587957233460857,-0.6583680791531469,-18.429500990901616,-52.767152616446054,60.0,6.681498054930625,-0.484486497519482,-0.6,-0.15395285431439043,-0.44829807579009984,1.759340084146424
1776700911352,0.088,-1.341364292659252,1.1978102168980036,0.8947274873776422,-0.1779743393979243,-2.0,0.0,2.0,0.0,-0.22664125505572627,-0.6614773109706088,-17.571371078552104,-53.01125674825139,60.0,12.206558854197656,-0.5424464397654678,-0.6,-0.17086980978303648,-0.5,1.7578901097190434
1776700911452,0.1,-1.3439652645050917,1.1974377881220035,0.8954926477194263,-0.14812606374386378,-2.0,0.0,2.0,0.0,-0.24616103243383253,-0.6542125985061051,-19.32631124935956,-52.3931840158282,60.0,-0.0535350972690668,-0.6,-0.6,-0.19296838832937802,-0.5,1.756182029813605
1776700911552,0.1,-1.346823696540944,1.195396149128221,0.8995704385235207,-0.13126237025473206,-2.0,0.0,2.0,0.0,-0.25587463855775133,-0.6487694875390964,-20.144197760073983,-51.67234335324749,60.0,2.253307334835527,-0.6,-0.6,-0.21598923139834397,-0.5,1.7511586040454283
1776700911675,0.123,-1.2455540269368544,1.1836506214333589,0.8188419505352952,-0.11562795356281434,-2.0,0.0,2.0,0.0,-0.3169603520165632,-0.644698126533797,-40.71297645069963,-51.78885858380459,60.0,2.4995238799091957,-0.6,-0.6,-0.35692388647852413,-0.5,1.8344895360034188
1776700911761,0.086,-1.3655690601188084,1.1809090849635304,0.9191661571946309,-0.09913965192430037,-2.0,0.0,2.0,0.0,-0.26796957744210426,-0.6320811711881793,3.2552154332770087,-47.74508531035188,60.0,0.1573167885950713,-0.6,-0.6,-0.26081489811317526,-0.5,1.7219903252287327
1776700911862,0.101,-1.3792317742024305,1.1671781610772651,0.9330208546420958,-0.06115173814880639,-2.0,0.0,2.0,0.0,-0.28538290542149736,-0.614177878468099,-20.809551342263898,-46.81454527321325,60.0,-6.091547565014279,-0.6,-0.6,-0.2768405422472564,-0.5,1.6988533034032844
1776700911953,0.091,-1.3939425305983795,1.151680431646477,0.9448634939435213,-0.04361015539402276,-2.0,0.0,2.0,0.0,-0.2891015361191236,-0.601015411482824,-20.643893319338034,-45.18977425039473,60.0,-2.5330640368540207,-0.6,-0.6,-0.2891276563946786,-0.5,1.6754063743665253
1776700912062,0.109,-1.4153713640087189,1.1285461508606853,0.9618144718943126,-0.05580476168978936,-2.0,0.0,2.0,0.0,-0.27169850456009026,-0.5923493768232628,-18.76828103730575,-43.69148430989759,60.0,5.363679488618134,-0.6,-0.6,-0.2986376509165467,-0.5,1.6411082375674007
